Angstroms, e1, e2, n, k, Absorption 
4550, 5.448975e+00, 7.337354e+00, 2.700773e+00, 1.358381e+00, 3.386317e-02 
4560, 5.449023e+00, 7.335972e+00, 2.700677e+00, 1.358173e+00, 3.378392e-02 
4570, 5.449061e+00, 7.334678e+00, 2.700587e+00, 1.357979e+00, 3.370542e-02 
4580, 5.449089e+00, 7.333472e+00, 2.700501e+00, 1.357798e+00, 3.362764e-02 
4590, 5.449106e+00, 7.332352e+00, 2.700420e+00, 1.357632e+00, 3.355058e-02 
4600, 5.449112e+00, 7.331319e+00, 2.700344e+00, 1.357478e+00, 3.347424e-02 
4610, 5.449109e+00, 7.330370e+00, 2.700273e+00, 1.357338e+00, 3.339861e-02 
4620, 5.449095e+00, 7.329505e+00, 2.700207e+00, 1.357212e+00, 3.332367e-02 
4630, 5.449072e+00, 7.328723e+00, 2.700146e+00, 1.357098e+00, 3.324942e-02 
4640, 5.449039e+00, 7.328023e+00, 2.700089e+00, 1.356997e+00, 3.317585e-02 
4650, 5.448996e+00, 7.327405e+00, 2.700036e+00, 1.356909e+00, 3.310295e-02 
4660, 5.448945e+00, 7.326868e+00, 2.699989e+00, 1.356833e+00, 3.303071e-02 
4670, 5.448884e+00, 7.326410e+00, 2.699946e+00, 1.356770e+00, 3.295914e-02 
4680, 5.448814e+00, 7.326031e+00, 2.699907e+00, 1.356719e+00, 3.288821e-02 
4690, 5.448736e+00, 7.325730e+00, 2.699874e+00, 1.356680e+00, 3.281793e-02 
4700, 5.448649e+00, 7.325507e+00, 2.699844e+00, 1.356654e+00, 3.274828e-02 
4710, 5.448553e+00, 7.325360e+00, 2.699819e+00, 1.356639e+00, 3.267925e-02 
4720, 5.448450e+00, 7.325290e+00, 2.699798e+00, 1.356636e+00, 3.261085e-02 
4730, 5.448338e+00, 7.325294e+00, 2.699782e+00, 1.356645e+00, 3.254306e-02 
4740, 5.448219e+00, 7.325373e+00, 2.699770e+00, 1.356666e+00, 3.247587e-02 
